Datetime,153,154,160,169,510,52F,52G,52H,55D,55V,57O,57V,57W,59B,59P,59Q,59Y,619,62I,63L,63O,63P,63S,63T,63U,64T,64X,65G,65H,66C,67F,67N,67S,69A,69B,701,70A,71A,844,A02,A37,AF5,C07,C26,CK6,DW4,E70,E71,E72,E73,F04,F0H,F25,F34,F87,F88,F96,F97,F98,F99,H18,IQ9,IR1,J13,J17,J82,JF4,JF6,K28,L78,L79,L80,L81,L82,L83,M18,M61,M68,M81,MC2,MC3,MC4,O24,O30,O52,P23,RU4,S39,S55,S78,S80,SC0,SC1,SE1,SI2,T03,T07,T33,TA8,TT8,U05,UG2,UU7,UW6,Y04,Y71,Y79,Y80,Z21
2014/1/2 00:00,11.14,8.34,12.13,18.8,1479.518429,354.6647013,565.0239623,355.2643035,562.5548117,501.5972204,412.2265125,677.550486,469.1887215,16.7955257,355.2643035,552.2336262,212.4090794,32.31364522,1314.897644,528.4893791,280.8536705,476.144107,915.6433475,917.7775992,910.1961396,1032.81479,5905.482068,542.9397921,887.6596407,26237.39307,273.4785634,312.3927462,4694.585425,1022.921353,303.0989121,720.5804501,16819.85389,3282.522244,823.5536217,2089.862502,1305.289019,859.1699924,1886.04872,1891.36936,11.03,10.53,2581.287471,2595.900331,2652.040531,2664.625023,212.4090794,303.0989121,823.5536217,1032.81479,542.9397921,887.6596407,354.6647013,565.0239623,355.2643035,562.5548117,10.83,1244.174565,1244.174565,4464.937782,7894.885405,304.2981165,38.7,21.15,9.16,500.0682348,502.4721471,470.4789295,428.4157719,430.4552546,367.5866537,3068.76406,2841.215025,202.3657425,402.9326784,984.5468124,990.5409157,992.7691671,49.25732073,45.12006555,45.13501836,12.91,718.6232367,375.6507783,358.5621156,745.0057335,716.524629,94.45233656,1033.742821,1029.082266,996.2990155,2574.092245,1593.742648,744.7059324,12.1,19.51,23.96,18.8,11.16,8.85,884.1134439,955.7659068,1055.299872,1446.510727,6.32
2014/1/3 00:00,11.09,8.31,11.98,18.63,1481.931409,353.8851004,563.9764625,354.7863358,561.5154743,498.022682,410.6629306,674.424491,467.140349,16.61763261,352.983865,549.753594,210.618713,32.33445204,1300.632888,522.0255849,277.5805032,469.303314,903.5928341,902.7190722,900.6345764,1020.799296,5863.737924,536.5354748,876.9321286,25827.90451,271.2718554,309.424154,4716.164848,1018.09559,301.913859,712.0459192,16687.55082,3263.072972,821.626273,2072.462901,1301.837539,849.858974,1865.256866,1867.069714,10.97,10.47,2597.060011,2607.006833,2616.586778,2627.925233,210.618713,301.913859,821.626273,1020.799296,536.5354748,876.9321286,353.8851004,563.9764625,354.7863358,561.5154743,10.8,1233.791263,1233.791263,4450.901229,7894.885405,300.7122118,38.15,21.06,9.11,497.4819408,499.9907693,473.0440296,426.2843442,428.6221115,369.6331487,3051.583064,2825.072567,199.773847,399.8481058,985.350704,988.496927,987.7506606,49.05724694,44.64119348,44.61395802,12.79,713.478025,372.2102202,355.6875712,739.3134398,711.0747306,93.77053925,1024.456066,1021.625429,989.0788144,2538.780122,1571.454126,734.8072628,12,19.27,23.75,18.63,11.14,8.74,880.5069858,952.305406,1050.540065,1440.498426,6.29
2014/1/6 00:00,11.11,8.32,11.99,18.59,1480.650064,353.759562,559.4035002,354.6666378,557.3498897,497.5008404,413.9289234,675.4691124,467.7487542,16.679803,352.5501276,548.4785004,210.3206422,32.45413098,1300.444339,520.0265561,276.5371756,468.1418204,899.8921211,898.3396994,902.2380624,1021.064992,5873.013446,536.686515,870.730852,25750.06781,270.4900036,308.405772,4745.820586,1021.064992,301.2398732,710.549233,16545.52908,3259.123349,823.6248264,2075.238251,1306.990402,849.5218405,1864.343128,1861.392557,10.96,10.47,2593.934429,2596.995838,2614.192456,2604.799558,210.3206422,301.2398732,823.6248264,1021.064992,536.686515,870.730852,353.759562,559.4035002,354.6666378,557.3498897,10.78,1234.530164,1234.530164,4429.855849,7894.885405,300.846807,38.14,21.1,9.11,496.4728212,494.5094084,470.3824004,425.7209088,424.2759293,367.8076422,3049.58884,2823.122248,200.4637518,400.625145,983.5725258,981.2150969,979.9170524,49.22398008,44.7490728,44.72570033,12.74,713.8686546,375.2270226,358.294941,739.5691356,711.4497858,93.78861413,1022.028552,1021.696922,989.151042,2532.555634,1565.915189,732.9172464,12.01,19.23,23.67,18.59,11.12,8.73,888.0272082,959.988555,1053.417362,1432.187963,6.25
2014/1/7 00:00,11.16,8.36,12.02,18.62,1481.840703,355.9085486,564.7867344,356.5148664,562.3095996,497.5443867,415.9340108,678.1664593,469.5931361,16.691066,353.7864363,550.2334035,211.7868075,32.47604556,1304.61401,519.220248,275.2379653,469.2899772,902.5027788,903.0875204,902.8072042,1024.373923,5910.992232,538.7133653,877.318575,25716.06001,270.4480547,310.4347136,4789.607461,1024.373923,302.067528,710.111976,16712.81564,3274.722438,830.0490682,2079.706433,1307.55162,851.2580648,1862.608282,1860.328235,10.98,10.48,2594.130707,2595.624415,2614.745513,2617.092916,211.7868075,302.067528,830.0490682,1024.373923,538.7133653,877.318575,355.9085486,564.7867344,356.5148664,562.3095996,10.91,1240.829378,1240.829378,4430.061006,7874.552428,301.6431055,38.2,21.11,9.12,499.9090261,499.9683738,472.284948,428.6666846,428.5443204,369.1671456,3062.208049,2834.838874,200.9943507,401.3823836,981.3253593,980.9453808,981.61687,49.23300536,44.83720131,44.85127878,12.75,714.8486862,373.4917648,356.8180253,739.1013982,710.6044616,93.99441695,1024.518182,1023.876743,991.2598765,2535.014722,1560.965176,735.4634914,12.03,19.22,23.87,18.62,11.11,8.74,891.8934838,964.3484609,1056.811925,1442.518165,6.25
2014/1/8 00:00,11.2,8.39,12.11,18.67,1497.223988,356.5395036,567.2381286,357.4467288,564.7682964,500.0322894,416.1139584,681.3261252,471.757104,16.7686647,355.9346868,549.7784712,212.441901,32.79998386,1314.448351,520.8682282,275.7359791,471.4849364,909.3098883,906.8604402,908.4348336,1026.978926,5954.723804,539.798994,880.906818,25887.97349,271.4720207,311.480652,4764.141934,1033.93432,301.9245466,717.4862541,16685.36307,3269.639621,835.2520008,2085.205713,1305.218847,856.3812757,1866.767053,1870.897892,11.03,10.49,2596.176114,2606.08461,2630.650672,2637.369151,212.441901,301.9245466,835.2520008,1026.978926,539.798994,880.906818,356.5395036,567.2381286,357.4467288,564.7682964,11.04,1245.922608,1245.922608,4467.781702,7939.127725,303.920442,38.39,21.39,9,501.3931272,502.6108527,473.151159,429.7223364,430.9857189,369.8936696,3074.283794,2845.965452,202.613628,404.6224392,989.4802848,990.4027122,987.8123853,49.41353256,45.0588516,45.04943396,12.81,717.9175416,374.986416,358.0515456,745.436706,716.707908,94.17602393,1030.068217,1025.829774,993.1484987,2562.91119,1575.850172,745.1342976,12.08,19.37,23.94,18.67,11.15,8.78,892.4071884,964.9852044,1066.896835,1459.259192,6.27
2014/1/9 00:00,11.15,8.36,12,18.52,1490.853549,353.956707,562.3317173,354.8642883,559.8635459,497.294047,414.7646541,678.5682853,470.1271134,16.75204608,353.3516528,545.4563613,209.9840601,32.64745344,1305.5557,517.9869006,274.573596,469.4313011,904.1734562,903.2953412,902.4383393,1018.911273,5922.875564,535.7754941,872.9099518,25749.59412,269.975184,309.4852233,4762.381608,1037.062899,299.501829,715.769706,16602.97765,3253.376433,833.4621605,2078.079827,1306.496559,849.6382845,1856.91134,1856.064893,11,10.38,2588.421868,2592.814056,2615.044252,2615.850322,209.9840601,299.501829,833.4621605,1018.911273,535.7754941,872.9099518,353.956707,562.3317173,354.8642883,559.8635459,10.86,1237.033312,1237.033312,4461.367144,7873.267778,301.3169916,38.01,21.3,8.98,499.4722421,499.3933466,469.5226718,428.0758465,427.816376,367.1253404,3054.313602,2827.418277,201.7855757,401.1509346,983.5156021,985.6231124,984.5072224,49.34217001,44.7740108,44.80696416,12.75,715.7791186,373.3184414,356.3769238,742.7040305,713.963956,93.55953095,1020.831577,1019.059511,986.595328,2551.816089,1575.561137,742.7040305,11.97,19.26,23.93,18.52,11.07,8.71,889.429674,961.7336509,1070.34088,1459.512021,6.25
2014/1/10 00:00,11.13,8.34,11.94,18.56,1484.080243,355.9133808,562.382064,356.517648,559.915476,498.188093,415.7358336,681.0091344,471.6305496,16.72754053,352.8920448,547.7682168,209.8317852,32.62227321,1295.881224,519.3676584,274.8811493,469.3343342,892.493758,895.1832995,897.0346584,1020.003034,5885.864662,536.28714,869.883368,25735.74005,269.9563716,308.7805392,4815.405317,1025.139305,300.7437854,711.19954,16500.24043,3251.863937,835.399404,2078.497888,1304.857613,845.4513889,1852.078968,1853.640882,11.01,10.37,2579.91881,2589.095204,2608.923636,2599.372654,209.8317852,300.7437854,835.399404,1020.003034,536.28714,869.883368,355.9133808,562.382064,356.517648,559.915476,10.78,1237.841359,1237.841359,4462.211138,7891.125365,299.7165312,37.91,21.4,8.99,499.1247072,497.017482,470.292408,427.8211776,425.897528,367.516836,3051.247226,2824.647026,200.918844,399.4206192,984.3512688,979.235436,982.263387,49.27799016,44.8668396,44.75747331,12.74,713.9416968,373.134996,356.2155144,741.1337208,712.7331624,93.33813305,1019.506596,1016.610073,984.2243727,2534.900904,1567.166983,739.3209192,12.04,19.27,23.75,18.56,11.05,8.69,891.8983872,964.4104512,1058.071867,1437.198608,6.22
2014/1/13 00:00,11.12,8.33,11.96,18.59,1496.320436,359.5505334,572.1307668,360.4539267,569.6593596,496.5651839,424.594851,685.3743836,474.5826136,16.9782412,354.1301736,548.9619953,210.2798471,32.8372996,1316.033246,524.6607155,275.7457483,473.4383154,903.2993316,908.0677728,901.5865134,1023.243478,5868.141746,538.1212757,878.1733584,25848.19023,271.4696867,310.4661641,4786.478835,1027.459313,301.4322311,721.2390012,16785.3858,3285.942563,840.155769,2084.05306,1306.07183,847.6177977,1864.603771,1865.912436,11.04,10.38,2594.244427,2603.215584,2627.669979,2634.931976,210.2798471,301.4322311,840.155769,1023.243478,538.1212757,878.1733584,359.5505334,572.1307668,360.4539267,569.6593596,10.76,1236.444297,1236.444297,4469.086655,7891.125365,300.2277067,38.11,21.45,9.02,497.4685772,497.9885508,476.0513901,426.4016376,426.7296432,372.0767583,3047.145601,2820.393883,201.757837,402.0100185,988.9145324,990.622386,996.4417824,49.17470863,44.92876012,44.9578112,12.89,715.7886247,374.9082195,357.7437468,748.3107835,719.703329,93.96193713,1026.408362,1023.261546,990.6641041,2540.944222,1567.688507,740.782506,12.15,19.31,23.83,18.59,11.12,8.67,910.9215775,984.9998281,1060.583734,1447.420817,6.25
2014/1/14 00:00,11.09,8.31,11.94,18.43,1472.721589,359.8109474,570.2945,360.7157528,567.822125,496.7683248,426.766547,682.8264752,472.9116224,16.86528078,352.874106,547.1056652,210.3370953,32.3508912,1315.798173,524.6607155,275.1814823,473.2132242,899.9445,899.7963626,900.5829748,1024.239713,5870.980639,538.6608148,875.6328125,25809.87564,269.8129703,309.7450486,4799.087842,1021.223695,300.3953928,721.109375,16673.28494,3275.998752,835.436986,2079.09804,1299.713749,846.9370626,1866.915142,1864.994875,10.95,10.36,2558.789671,2562.616688,2622.729253,2620.305438,210.3370953,300.3953928,835.436986,1024.239713,538.6608148,875.6328125,359.8109474,570.2945,360.7157528,567.822125,10.77,1251.345868,1251.345868,4458.277808,7817.518656,299.7921892,38.06,21.29,8.94,503.3734042,503.1283125,480.9229478,431.290574,431.017375,375.806154,3041.352551,2815.452803,201.1684006,402.0351994,972.9674068,972.4675,972.017511,49.07061286,44.69738676,44.64898734,12.83,711.4786462,375.7958428,358.906142,750.3852784,721.7331074,93.48147791,1019.228353,1017.996556,985.56833,2536.77274,1566.519749,738.0196046,12.08,19.2,23.9,18.43,11,8.66,915.361463,989.8571076,1054.098291,1436.449875,6.24
2014/1/15 00:00,11.09,8.31,12.02,18.51,1487.05566,363.14637,577.6068018,363.75111,575.133111,497.035806,425.73696,684.56568,474.11616,16.90662726,352.56342,549.40629,211.144971,32.6956575,1317.698223,529.570818,275.247411,475.32564,907.4322418,906.767928,904.38867,1027.15089,5894.70315,540.03282,881.4584884,25900.40946,271.014231,310.83636,4804.35693,1022.91771,301.735023,724.7914044,16814.50093,3287.97138,839.98386,2087.689475,1293.321154,852.864822,1878.92718,1881.241853,10.99,10.43,2562.58575,2574.287559,2638.48062,2646.436874,211.144971,301.735023,839.98386,1027.15089,540.03282,881.4584884,363.14637,577.6068018,363.75111,575.133111,10.91,1254.23076,1254.23076,4493.82294,7870.6911,302.06763,38.21,21.54,8.97,503.74842,505.045205,475.3083888,431.78436,432.89589,371.5704468,3046.98249,2820.20499,201.68079,405.1758,982.40013,985.7657838,985.0571808,49.074651,44.871708,44.9416674,12.84,714.19794,377.35776,360.42504,751.99419,722.96667,93.5109462,1021.92702,1018.291449,985.8531954,2567.72604,1584.72117,746.55153,12.15,19.31,24.04,18.51,11.14,8.74,913.76214,988.14516,1055.87604,1443.810864,6.31
