Datetime,173,176,213,248,55N,59U,59V,59Z,61O,61P,62A,62B,62R,63Z,64A,65U,65Z,66K,67M,67X,68J,68K,691,AF4,C02,C23,CZ7,F0F,F0G,F15,F79,F80,FK0,FL0,H23,H28,J80,J81,K35,L50,L51,M74,M75,O32,O54,P31,S71,SE6,SI8,T06,T32,UF4,UN8,UW4,UW8,V09,V55,Y52
2014/1/2 00:00,13.382,10.01,13.11,10.55,7297.458575,367.6161088,586.4109516,4820.801688,1390.177701,397.080569,1023.221154,1027.9897,1148.427088,386.1438168,488.0687686,1143.441395,24677.22814,306.3967242,350.767287,8588.102311,417.6229323,574.0775145,1684.28258,1115.565889,26628.3337,26702.21764,11.29,417.6229323,574.0775145,4820.801688,1390.177701,397.080569,11.57,12.76,13.96,9.05,1423.755424,933.5806254,10.53,1203.701417,1209.060744,1597.951963,1369.191624,34.14734529,34.15878748,11.56,1143.410472,595.0931915,550.4558057,6906.817742,1481.017434,22.99,9.89,8.29,7.34,22338.47976,7056.418491,688.0435245
2014/1/3 00:00,13.132,9.85,12.98,10.48,7194.562198,358.3612362,574.1470322,4770.539384,1369.877808,391.051025,1009.984472,1015.157633,1128.860425,379.4201034,476.6113814,1125.042191,24305.11709,302.8150944,345.47357,8458.394641,414.2678722,569.3086036,1677.799903,1102.76966,26233.46044,26259.15426,11.3,414.2678722,569.3086036,4770.539384,1369.877808,391.051025,11.46,12.66,13.82,8.96,1402.021871,920.1613434,10.41,1188.128669,1193.989442,1583.235742,1356.659689,33.73624514,33.70937742,11.25,1125.148068,584.9288117,541.0536683,6785.701738,1455.194759,22.76,9.74,8.24,7.3,22268.92591,6979.166938,679.8319034
2014/1/6 00:00,13.077,9.81,12.91,10.35,7153.199759,356.5412611,572.969547,4762.14795,1356.38068,384.3537412,1009.877724,1006.269145,1124.11485,377.3435328,471.9196929,1120.540972,24316.58569,301.4515242,343.4793696,8461.80778,414.231282,565.1536096,1673.85721,1100.533903,26087.50001,26045.94197,11.15,414.231282,565.1536096,4762.14795,1356.38068,384.3537412,11.48,12.59,13.72,8.89,1392.663712,916.7512752,10.39,1188.269298,1184.111814,1571.422755,1349.72879,33.68274804,33.66937377,11.15,1120.447009,582.3970881,538.7123176,6773.739716,1444.669391,22.65,9.53,8.1,7.27,22014.42731,6953.340724,677.283264
2014/1/7 00:00,13.095,9.82,12.92,10.41,7149.396339,356.0298122,572.7884257,4786.879031,1365.427686,388.4147366,1020.432857,1020.579538,1124.249623,376.8265127,472.3070352,1127.14479,24356.99866,301.3399466,344.3885104,8475.413367,418.6624409,573.4567062,1676.468717,1100.400112,26041.95583,26007.43827,11.35,418.6624409,573.4567062,4786.879031,1365.427686,388.4147366,11.55,12.58,13.9,8.97,1393.924622,918.571467,10.42,1200.509244,1200.584666,1577.934868,1342.993927,33.74158557,33.76364208,11.14,1127.198573,582.441005,538.7558075,6797.428856,1440.004775,22.83,9.49,8.2,7.37,22260.04855,6950.220941,676.9538237
2014/1/8 00:00,13.174,9.91,12.96,10.45,7246.612489,358.5656399,576.4508921,4820.389896,1375.655812,392.0858618,1031.817461,1034.448053,1136.11207,379.8249504,475.8543372,1136.753176,24614.22931,302.4084,345.9552096,8564.810705,421.5573096,578.3523735,1695.906307,1108.338882,26295.31761,26351.46302,11.54,421.5573096,578.3523735,4820.389896,1375.655812,392.0858618,11.61,12.65,14.07,9.04,1409.223144,924.7648872,10.49,1213.867318,1216.803997,1595.511601,1355.999266,33.8697408,33.87032416,11.25,1136.548969,588.5653726,544.4167703,6878.279058,1458.515713,23.11,9.48,8.31,7.44,22520.05114,7016.782105,679.5116748
2014/1/9 00:00,13.048,9.77,12.9,10.31,7196.212128,355.1970681,571.776219,4761.776554,1361.37195,387.4617736,1024.356761,1023.879769,1122.932191,376.3437124,471.0093755,1133.871571,24383.68426,297.9891935,345.1834211,8484.37252,415.9747625,570.1475934,1683.260784,1098.823806,26067.5501,26059.77637,11.36,415.9747625,570.1475934,4761.776554,1361.37195,387.4617736,11.54,12.56,13.89,8.94,1391.62466,916.0520588,10.4,1205.267966,1204.879005,1581.686506,1347.455703,33.61076081,33.62306976,11.12,1133.876738,581.711209,538.0807506,6824.708849,1443.659321,22.84,9.4,8.15,7.28,22262.36423,6979.905251,669.1899452
2014/1/10 00:00,13.085,9.74,12.84,10.18,7147.876709,356.7895682,573.6912797,4767.668208,1360.205467,385.3221554,1023.02437,1018.700844,1119.649716,374.9477976,469.473916,1133.907401,24377.04525,296.9973288,344.432304,8481.796553,415.4337,566.493044,1664.756136,1093.898869,25991.64721,26011.40375,11.24,415.4337,566.493044,4767.668208,1360.205467,385.3221554,11.37,12.44,13.79,8.91,1385.282556,913.0477392,10.36,1203.700262,1198.35067,1565.461184,1341.775318,33.62746968,33.5502591,11.17,1133.841892,579.9877439,536.4865482,6801.933737,1438.45807,22.63,9.38,8.08,7.25,22337.03918,6972.337087,667.4131224
2014/1/13 00:00,13.042,9.72,12.91,10.11,7154.874936,356.9608059,575.2808534,4775.939246,1358.402392,387.3106984,1011.198234,1012.041248,1119.337423,374.9082195,472.0387752,1132.554067,24375.35802,297.2163957,345.0962406,8480.454038,415.2597869,570.0712608,1666.760639,1096.156351,26053.26051,26075.81737,11.33,415.2597869,570.0712608,4775.939246,1358.402392,387.3106984,11.36,12.44,13.78,8.91,1383.095142,912.427233,10.34,1189.768976,1190.806369,1575.933991,1337.925477,33.63634387,33.6707336,11.21,1132.263456,579.7556616,536.2693194,6787.796125,1432.480643,22.74,9.38,8.07,7.3,22369.52376,6969.980441,667.6076487
2014/1/14 00:00,13.032,9.69,12.92,10.18,7179.630849,356.6139683,575.1244724,4774.356494,1362.938534,387.0915125,1026.350925,1025.623563,1117.377365,374.5894356,470.9874375,1128.895537,24408.33207,295.569764,343.2228484,8491.900281,415.6072804,568.2341875,1669.667565,1099.239032,25963.39095,25936.862,11.43,415.6072804,568.2341875,4774.356494,1362.938534,387.0915125,11.43,12.53,13.83,8.92,1379.828235,909.6310288,10.26,1207.613607,1206.519,1576.963188,1336.699178,33.53812016,33.51647478,11.19,1128.660914,578.7165499,535.3070028,6778.198853,1431.402143,22.68,9.43,8.21,7.33,22363.47187,6966.398376,663.8255618
2014/1/15 00:00,13.07,9.79,13.13,10.27,7255.97289,359.790063,580.399215,4819.7778,1369.13136,390.3071801,1028.36037,1030.7045,1129.022367,377.05539,472.8872246,1139.63253,24601.12557,298.43919,346.81839,8558.58285,419.68956,575.9576746,1689.64356,1112.17431,26227.87617,26261.5261,11.52,419.68956,575.9576746,4819.7778,1369.13136,390.3071801,11.51,12.66,13.97,9.03,1393.32096,916.78584,10.36,1210.08474,1212.933056,1592.644593,1344.63939,33.835203,33.8845905,11.28,1139.431986,584.723106,540.8643375,6815.72217,1440.79305,22.92,9.37,8.28,7.38,22627.85895,7031.61435,670.35429
2014/1/16 00:00,13.086,9.79,13.23,10.21,7287.727515,359.3334384,581.2693402,4804.829068,1362.477663,387.9547322,1029.649453,1029.410571,1132.783838,377.9113039,473.71835,1137.667336,24686.47348,299.2428179,349.7721916,8588.178102,417.8506891,572.993239,1692.582733,1116.877676,26297.05944,26302.49051,11.43,417.8506891,572.993239,4804.829068,1362.477663,387.9547322,11.51,12.67,14.03,9.01,1391.82706,915.8827197,10.38,1211.494684,1211.483189,1592.517514,1347.046537,33.97873453,33.955207,11.25,1137.446906,586.6460287,542.6431136,6846.578851,1448.105285,23.05,9.35,8.24,7.32,22638.97484,7038.106357,672.6155553
2014/1/17 00:00,13.062,9.84,13.24,10.1,7285.738075,358.257515,581.84357,4835.6,1360.919175,388.468899,1026.658325,1030.984126,1140.213324,377.78125,472.73993,1147.548325,24886.4154,300.713875,351.487675,8657.235125,421.9061,579.620262,1696.69115,1126.740134,26308.38403,26318.4596,11.45,421.9061,579.620262,4835.6,1360.919175,388.468899,11.53,12.63,14.13,9.06,1398.999525,926.62185,10.42,1207.993325,1213.091768,1595.394494,1334.323375,34.0607575,34.12952598,11.24,1147.656979,590.4720938,546.18102,6874.107625,1452.191125,23.14,9.25,8.18,7.36,22574.69638,7028.242375,675.472875
2014/1/21 00:00,13.081,9.8,13.18,10.18,7266.531317,356.1169842,579.4625544,4798.309824,1357.400652,385.4104125,1026.911004,1025.13675,1137.835568,377.7457292,470.3327409,1141.416125,24815.80424,300.5002112,355.0264592,8631.807982,419.2462624,572.8464159,1689.707841,1124.313058,26283.772,26313.2101,11.5,419.2462624,572.8464159,4798.309824,1357.400652,385.4104125,11.43,12.59,14.15,9.13,1394.054407,923.91698,10.36,1208.665164,1206.380927,1581.170923,1344.67786,34.01832028,34.0199888,11.2,1141.285933,589.1409635,544.9534979,6807.904986,1438.8871,23,9.27,8.17,7.35,22745.92728,7050.243866,674.9137808
2014/1/22 00:00,13.178,9.89,13.28,10.4,7331.910378,359.6214106,582.762554,4827.295832,1376.628334,391.619156,1029.135807,1028.955303,1142.9199,380.8469576,474.8392536,1143.450539,24872.3992,302.6156558,358.4085222,8651.229735,419.3561643,574.2433188,1700.772759,1126.257846,26516.77265,26505.14924,11.64,419.3561643,574.2433188,4827.295832,1376.628334,391.619156,11.43,12.7,14.16,9.15,1408.466655,927.5564039,10.45,1211.069067,1210.922249,1592.518846,1351.4609,34.2640973,34.29747156,11.28,1143.587784,591.750057,547.364406,6819.161807,1453.040303,23.17,9.46,8.28,7.36,22875.37845,7070.532928,679.8239482
2014/1/23 00:00,12.98,9.77,13.24,10.4,7305.172838,355.8462486,577.5772971,4762.458126,1356.05369,383.5320917,1011.490149,1004.853253,1130.9652,377.103964,472.0204041,1136.481866,24663.51159,300.4667068,357.0323014,8578.506949,413.2937799,562.618536,1691.493748,1119.524352,26350.74772,26301.58918,11.66,413.2937799,562.618536,4762.458126,1356.05369,383.5320917,11.29,12.57,14.06,9.1,1392.851738,918.7347381,10.41,1190.310415,1182.326306,1590.638435,1345.713743,34.0610032,33.96187048,11.14,1136.262928,585.5360155,541.6186095,6755.635045,1441.206198,23,9.38,8.35,7.38,22758.22423,7036.942438,675.137742
2014/1/24 00:00,12.874,9.6,13.11,10.43,7132.60436,348.9789064,573.4072381,4654.67463,1328.255519,377.9211343,994.822617,994.967516,1117.812507,371.157062,467.5098412,1119.555728,24220.43211,298.4467851,352.903436,8424.048399,402.7966804,551.60333,1648.302428,1102.713716,25832.83574,25763.8304,11.55,402.7966804,551.60333,4654.67463,1328.255519,377.9211343,11.07,12.32,13.77,8.93,1372.368448,910.2474832,10.22,1170.970108,1171.480582,1559.476282,1330.689335,33.61709455,33.67845745,11.03,1119.615804,578.7007896,535.2967093,6622.71974,1411.00529,22.47,9.4,8.34,7.35,22329.96491,6906.563624,671.1249826
2014/1/27 00:00,12.648,9.37,12.85,10.25,6962.961628,343.5101753,561.7663739,4598.239778,1309.293091,372.3743683,985.2499166,985.2918117,1094.146121,363.099226,457.3823912,1097.536064,23788.49156,292.0050078,343.8763258,8273.170096,399.1040232,546.2714873,1608.621109,1078.001936,25232.9552,25242.83401,11.49,399.1040232,546.2714873,4598.239778,1309.293091,372.3743683,10.84,12.04,13.48,8.8,1338.890255,889.440541,10.03,1159.781645,1160.148766,1520.712987,1301.054706,32.92303066,32.91522966,10.79,1097.670315,566.37987,523.8972605,6494.594139,1380.082184,22.11,9.3,8.29,7.28,21964.14679,6772.868504,656.01961
2014/1/28 00:00,12.648,9.39,12.85,10.21,6995.243775,343.808725,562.1836025,4640.961,1317.679675,374.9087129,985.747425,986.163873,1097.712132,363.907375,457.71319,1095.68095,23926.22473,291.1259,343.5042,8320.8411,402.886575,551.7524454,1613.677975,1080.783587,25274.05238,25313.61992,11.52,402.886575,551.7524454,4640.961,1317.679675,374.9087129,10.84,12.04,13.65,8.86,1340.51905,890.4311,10.03,1160.544775,1161.343194,1524.184923,1299.7127,32.92303066,32.91522966,10.79,1095.375259,568.2010165,525.5827428,6500.086125,1376.757525,22.29,9.3,8.29,7.28,21997.97243,6769.895275,654.424225
2014/1/29 00:00,12.648,9.5,12.85,10.24,7103.80233,344.586973,564.0933105,4651.40765,1322.81051,376.3992869,975.85378,976.1883326,1109.912149,364.274185,458.4057504,1102.24082,24090.70661,290.750955,347.260545,8377.698625,403.770135,553.0765032,1639.689555,1091.18803,25634.69444,25644.97822,11.6,403.770135,553.0765032,4651.40765,1322.81051,376.3992869,10.84,12.04,13.71,8.91,1356.23016,894.735175,10.03,1148.4207,1148.920934,1549.195521,1312.784615,32.92303066,32.91522966,10.79,1102.452669,574.492898,531.4028165,6572.429895,1400.283335,22.42,9.3,8.29,7.28,22426.10423,6894.16998,653.506065
2014/2/5 00:00,12.252,9.15,12.75,10.24,6792.432139,332.7464293,541.70924,4499.286606,1286.205799,365.6585148,952.7901048,951.0327112,1109.912149,353.4936468,439.760156,1066.565168,23262.74155,282.6123906,328.2441006,8088.372703,390.6074376,534.6990308,1558.170791,1045.142602,24369.76683,24354.49283,11.6,390.6074376,534.6990308,4499.286606,1286.205799,365.6585148,10.59,11.84,13.28,8.65,1303.545849,862.7435304,9.84,1121.931643,1119.94993,1454.907432,1273.42892,32.03346042,32.0092908,10.48,1066.327248,574.492898,531.4028165,6322.729738,1345.527022,21.6,9.3,8.29,7.28,21557.63665,6623.290601,635.4976146
2014/2/6 00:00,12.345,9.25,12.86,10.24,6839.847751,334.3999953,545.6176099,4576.736672,1300.900883,367.8215251,966.7747611,962.039071,1109.912149,357.5575525,444.8093395,1069.629615,23581.45312,284.2202162,328.3443397,8198.870755,399.2472416,543.15294,1577.817796,1056.666251,24539.40306,24546.39809,11.6,399.2472416,543.15294,4576.736672,1300.900883,367.8215251,10.78,12,13.56,8.78,1318.854836,873.353341,9.89,1138.098082,1132.391584,1474.742528,1276.860843,32.31711666,32.28147462,10.53,1069.652888,574.492898,531.4028165,6401.040951,1357.805787,21.92,9.3,8.29,7.28,21694.46216,6665.481387,639.03903
2014/2/7 00:00,12.478,9.38,13.05,10.19,6951.908967,339.0811691,551.9989654,4631.159722,1313.631648,373.0106885,976.101294,972.6042986,1079.479848,362.4650288,453.2484773,1082.529784,23898.97355,287.0528416,334.1854586,8309.024255,402.2996922,549.9304679,1601.900815,1072.023772,24886.93402,24920.816,11.57,402.2996922,549.9304679,4631.159722,1313.631648,373.0106885,10.91,12.17,13.78,8.92,1337.654079,883.356467,9.99,1149.427692,1145.309735,1503.942076,1291.433706,32.77997492,32.77418042,10.67,1082.223035,558.5306339,516.6373394,6476.93382,1376.880579,22.27,9.25,8.34,7.29,22144.42387,6778.88665,645.2607308
2014/2/10 00:00,12.454,9.36,13.17,10.42,6965.214545,338.1133764,550.9646942,4617.95608,1310.648851,372.7528223,968.2517123,968.5605357,1078.505414,363.0564155,455.89071,1082.485363,23762.72597,287.1031905,334.4980029,8260.976564,401.3368409,549.5555286,1620.538009,1069.005184,24885.01083,24904.89504,11.75,401.3368409,549.5555286,4617.95608,1310.648851,372.7528223,11.03,12.36,13.82,9.01,1337.384386,880.4497842,10.04,1140.209814,1140.141221,1527.233879,1294.546767,32.75103062,32.80249116,10.66,1082.377758,557.9584671,516.1082401,6483.671099,1379.310566,22.34,9.41,8.51,7.41,22250.34536,6803.28227,645.6024125
